Longitud,Latitud,Valor
-72.72580,-47.14140,679.90000
-73.25000,-47.19810,0.00000
-72.56440,-47.25170,16.00000
-73.11470,-47.33920,0.00000
-72.85000,-47.35000,875.50000
-72.97500,-47.50000,930.10000
-73.08890,-48.15920,703.40000
-72.95890,-48.37750,612.20000
-72.60000,-48.48330,118.80000
-72.79250,-50.96030,50.50000
-72.48330,-51.01670,5.20000
-72.48330,-51.01670,3.10000
-72.51690,-51.05080,8.20000
-72.99330,-51.07830,0.00000
-73.13000,-51.11140,0.00000
-73.01670,-51.18330,123.80000
-72.93330,-51.20000,86.10000
-72.45000,-51.21670,12.30000
-72.98330,-51.21670,67.70000
-72.51670,-51.25000,15.80000
-72.48330,-51.26670,0.60000
-72.62060,-51.30970,3.50000
-72.82920,-51.31390,5.50000
-73.10920,-51.33280,421.90000
-72.46670,-51.45000,0.40000
-72.73470,-51.55810,2.70000
-72.15920,-51.82330,0.70000
-72.42360,-51.90560,4.20000
-71.94140,-52.03000,12.10000
-70.05810,-52.04310,0.30000
-71.42470,-52.05110,14.20000
-71.97470,-52.54920,8.30000
-69.27720,-52.76810,1.60000
-68.63170,-52.84530,0.10000
-69.89440,-52.84610,3.10000
-69.75360,-52.84970,2.10000
-71.87060,-52.99640,19.10000
-71.30360,-53.10890,5.50000
-70.93580,-53.12500,0.30000
-70.98750,-53.13810,0.90000
-71.61580,-53.20690,9.60000
-70.97890,-53.27890,2.20000
-68.65110,-53.31640,0.60000
-68.69080,-53.54360,4.30000
-70.96670,-53.65000,18.70000
-68.67250,-53.80560,2.60000
-69.99890,-53.85860,1.20000
-68.88440,-53.89280,28.90000
-68.65280,-54.01810,6.80000
-68.82440,-54.50280,48.50000
-67.63920,-54.94690,0.60000
